long,lat
-102.0,37.0
-102.0,37.2068965517
-102.0,37.4137931034
-102.0,37.6206896552
-102.0,37.8275862069
-102.0,38.0344827586
-102.0,38.2413793103
-102.0,38.4482758621
-102.0,38.6551724138
-102.0,38.8620689655
-102.0,39.0689655172
-102.0,39.275862069
-102.0,39.4827586207
-102.0,39.6896551724
-102.0,39.8965517241
-102.0,40.1034482759
-102.0,40.3103448276
-102.0,40.5172413793
-102.0,40.724137931
-102.0,40.9310344828
-102.0,41.1379310345
-102.0,41.3448275862
-102.0,41.5517241379
-102.0,41.7586206897
-102.0,41.9655172414
-102.0,42.1724137931
-102.0,42.3793103448
-102.0,42.5862068966
-102.0,42.7931034483
-102.0,43.0
-101.793103448,37.0
-101.793103448,37.2068965517
-101.793103448,37.4137931034
-101.793103448,37.6206896552
-101.793103448,37.8275862069
-101.793103448,38.0344827586
-101.793103448,38.2413793103
-101.793103448,38.4482758621
-101.793103448,38.6551724138
-101.793103448,38.8620689655
-101.793103448,39.0689655172
-101.793103448,39.275862069
-101.793103448,39.4827586207
-101.793103448,39.6896551724
-101.793103448,39.8965517241
-101.793103448,40.1034482759
-101.793103448,40.3103448276
-101.793103448,40.5172413793
-101.793103448,40.724137931
-101.793103448,40.9310344828
-101.793103448,41.1379310345
-101.793103448,41.3448275862
-101.793103448,41.5517241379
-101.793103448,41.7586206897
-101.793103448,41.9655172414
-101.793103448,42.1724137931
-101.793103448,42.3793103448
-101.793103448,42.5862068966
-101.793103448,42.7931034483
-101.793103448,43.0
-101.586206897,37.0
-101.586206897,37.2068965517
-101.586206897,37.4137931034
-101.586206897,37.6206896552
-101.586206897,37.8275862069
-101.586206897,38.0344827586
-101.586206897,38.2413793103
-101.586206897,38.4482758621
-101.586206897,38.6551724138
-101.586206897,38.8620689655
-101.586206897,39.0689655172
-101.586206897,39.275862069
-101.586206897,39.4827586207
-101.586206897,39.6896551724
-101.586206897,39.8965517241
-101.586206897,40.1034482759
-101.586206897,40.3103448276
-101.586206897,40.5172413793
-101.586206897,40.724137931
-101.586206897,40.9310344828
-101.586206897,41.1379310345
-101.586206897,41.3448275862
-101.586206897,41.5517241379
-101.586206897,41.7586206897
-101.586206897,41.9655172414
-101.586206897,42.1724137931
-101.586206897,42.3793103448
-101.586206897,42.5862068966
-101.586206897,42.7931034483
-101.586206897,43.0
-101.379310345,37.0
-101.379310345,37.2068965517
-101.379310345,37.4137931034
-101.379310345,37.6206896552
-101.379310345,37.8275862069
-101.379310345,38.0344827586
-101.379310345,38.2413793103
-101.379310345,38.4482758621
-101.379310345,38.6551724138
-101.379310345,38.8620689655
-101.379310345,39.0689655172
-101.379310345,39.275862069
-101.379310345,39.4827586207
-101.379310345,39.6896551724
-101.379310345,39.8965517241
-101.379310345,40.1034482759
-101.379310345,40.3103448276
-101.379310345,40.5172413793
-101.379310345,40.724137931
-101.379310345,40.9310344828
-101.379310345,41.1379310345
-101.379310345,41.3448275862
-101.379310345,41.5517241379
-101.379310345,41.7586206897
-101.379310345,41.9655172414
-101.379310345,42.1724137931
-101.379310345,42.3793103448
-101.379310345,42.5862068966
-101.379310345,42.7931034483
-101.379310345,43.0
-101.172413793,37.0
-101.172413793,37.2068965517
-101.172413793,37.4137931034
-101.172413793,37.6206896552
-101.172413793,37.8275862069
-101.172413793,38.0344827586
-101.172413793,38.2413793103
-101.172413793,38.4482758621
-101.172413793,38.6551724138
-101.172413793,38.8620689655
-101.172413793,39.0689655172
-101.172413793,39.275862069
-101.172413793,39.4827586207
-101.172413793,39.6896551724
-101.172413793,39.8965517241
-101.172413793,40.1034482759
-101.172413793,40.3103448276
-101.172413793,40.5172413793
-101.172413793,40.724137931
-101.172413793,40.9310344828
-101.172413793,41.1379310345
-101.172413793,41.3448275862
-101.172413793,41.5517241379
-101.172413793,41.7586206897
-101.172413793,41.9655172414
-101.172413793,42.1724137931
-101.172413793,42.3793103448
-101.172413793,42.5862068966
-101.172413793,42.7931034483
-101.172413793,43.0
-100.965517241,37.0
-100.965517241,37.2068965517
-100.965517241,37.4137931034
-100.965517241,37.6206896552
-100.965517241,37.8275862069
-100.965517241,38.0344827586
-100.965517241,38.2413793103
-100.965517241,38.4482758621
-100.965517241,38.6551724138
-100.965517241,38.8620689655
-100.965517241,39.0689655172
-100.965517241,39.275862069
-100.965517241,39.4827586207
-100.965517241,39.6896551724
-100.965517241,39.8965517241
-100.965517241,40.1034482759
-100.965517241,40.3103448276
-100.965517241,40.5172413793
-100.965517241,40.724137931
-100.965517241,40.9310344828
-100.965517241,41.1379310345
-100.965517241,41.3448275862
-100.965517241,41.5517241379
-100.965517241,41.7586206897
-100.965517241,41.9655172414
-100.965517241,42.1724137931
-100.965517241,42.3793103448
-100.965517241,42.5862068966
-100.965517241,42.7931034483
-100.965517241,43.0
-100.75862069,37.0
-100.75862069,37.2068965517
-100.75862069,37.4137931034
-100.75862069,37.6206896552
-100.75862069,37.8275862069
-100.75862069,38.0344827586
-100.75862069,38.2413793103
-100.75862069,38.4482758621
-100.75862069,38.6551724138
-100.75862069,38.8620689655
-100.75862069,39.0689655172
-100.75862069,39.275862069
-100.75862069,39.4827586207
-100.75862069,39.6896551724
-100.75862069,39.8965517241
-100.75862069,40.1034482759
-100.75862069,40.3103448276
-100.75862069,40.5172413793
-100.75862069,40.724137931
-100.75862069,40.9310344828
-100.75862069,41.1379310345
-100.75862069,41.3448275862
-100.75862069,41.5517241379
-100.75862069,41.7586206897
-100.75862069,41.9655172414
-100.75862069,42.1724137931
-100.75862069,42.3793103448
-100.75862069,42.5862068966
-100.75862069,42.7931034483
-100.75862069,43.0
-100.551724138,37.0
-100.551724138,37.2068965517
-100.551724138,37.4137931034
-100.551724138,37.6206896552
-100.551724138,37.8275862069
-100.551724138,38.0344827586
-100.551724138,38.2413793103
-100.551724138,38.4482758621
-100.551724138,38.6551724138
-100.551724138,38.8620689655
-100.551724138,39.0689655172
-100.551724138,39.275862069
-100.551724138,39.4827586207
-100.551724138,39.6896551724
-100.551724138,39.8965517241
-100.551724138,40.1034482759
-100.551724138,40.3103448276
-100.551724138,40.5172413793
-100.551724138,40.724137931
-100.551724138,40.9310344828
-100.551724138,41.1379310345
-100.551724138,41.3448275862
-100.551724138,41.5517241379
-100.551724138,41.7586206897
-100.551724138,41.9655172414
-100.551724138,42.1724137931
-100.551724138,42.3793103448
-100.551724138,42.5862068966
-100.551724138,42.7931034483
-100.551724138,43.0
-100.344827586,37.0
-100.344827586,37.2068965517
-100.344827586,37.4137931034
-100.344827586,37.6206896552
-100.344827586,37.8275862069
-100.344827586,38.0344827586
-100.344827586,38.2413793103
-100.344827586,38.4482758621
-100.344827586,38.6551724138
-100.344827586,38.8620689655
-100.344827586,39.0689655172
-100.344827586,39.275862069
-100.344827586,39.4827586207
-100.344827586,39.6896551724
-100.344827586,39.8965517241
-100.344827586,40.1034482759
-100.344827586,40.3103448276
-100.344827586,40.5172413793
-100.344827586,40.724137931
-100.344827586,40.9310344828
-100.344827586,41.1379310345
-100.344827586,41.3448275862
-100.344827586,41.5517241379
-100.344827586,41.7586206897
-100.344827586,41.9655172414
-100.344827586,42.1724137931
-100.344827586,42.3793103448
-100.344827586,42.5862068966
-100.344827586,42.7931034483
-100.344827586,43.0
-100.137931034,37.0
-100.137931034,37.2068965517
-100.137931034,37.4137931034
-100.137931034,37.6206896552
-100.137931034,37.8275862069
-100.137931034,38.0344827586
-100.137931034,38.2413793103
-100.137931034,38.4482758621
-100.137931034,38.6551724138
-100.137931034,38.8620689655
-100.137931034,39.0689655172
-100.137931034,39.275862069
-100.137931034,39.4827586207
-100.137931034,39.6896551724
-100.137931034,39.8965517241
-100.137931034,40.1034482759
-100.137931034,40.3103448276
